External Libraries
Package     	Version      	        Website 	                                            Source Code
bzip2 	        1.0.6        	        http://bzip.org/ 	                                    bzip2-1.0.6.tar.xz
Fontconfig   	2.11.94      	        http://freedesktop.org/wiki/Software/fontconfig 	    fontconfig-2.11.94.tar.xz
Frei0r       	20130909-git-10d8360 	http://frei0r.dyne.org/                          	    frei0r-20130909-git-10d8360.tar.xz
GnuTLS       	3.3.19              	http://gnutls.org/ 	                                    gnutls-3.3.19.tar.xz
libiconv     	1.14                 	http://gnu.org/software/libiconv/                	    libiconv-1.14.tar.xz
libass       	0.13.1               	https://github.com/libass/libass                 	    libass-0.13.1.tar.xz
libbluray    	0.9.2                	http://videolan.org/developers/libbluray.html    	    libbluray-0.9.2.tar.xz
libbs2b      	3.1.0                	http://bs2b.sourceforge.net/                     	    libbs2b-3.1.0.tar.xz
libcaca      	0.99.beta18          	http://caca.zoy.org/wiki/libcaca                 	    libcaca-0.99.beta18.tar.xz
dcadec       	0.1.0                	https://github.com/foo86/dcadec                  	    dcadec-0.1.0.tar.xz
FreeType     	2.6.2                	http://freetype.sourceforge.net/                	    freetype-2.6.2.tar.xz
Game Music Emu 	0.6.0                	https://bitbucket.org/mpyne/game-music-emu/wiki/Home    gme-0.6.0.tar.xz
GSM         	1.0.13-4             	http://packages.debian.org/source/squeeze/libgsm     	libgsm-1.0.13-4.tar.xz
iLBC         	20141214-git-ef04ebe 	https://github.com/dekkers/libilbc/                  	libilbc-20141214-git-ef04ebe.tar.xz
Modplug-XMMS 	0.8.8.5              	http://modplug-xmms.sourceforge.net/                 	libmodplug-0.8.8.5.tar.xz
LAME         	3.99.5               	http://lame.sourceforge.net/                         	lame-3.99.5.tar.xz
OpenCORE AMR 	0.1.3                	http://sourceforge.net/projects/opencore-amr/        	opencore-amr-0.1.3.tar.xz
OpenJPEG     	1.5.2                	https://github.com/uclouvain/openjpeg                	openjpeg-1.5.2.tar.xz
Opus         	1.1.1                	http://opus-codec.org/                               	opus-1.1.1.tar.xz
RTMPDump     	20140707-git-a1900c3 	http://rtmpdump.mplayerhq.hu/                        	rtmpdump-20140707-git-a1900c3.tar.xz
Schroedinger 	1.0.11               	http://diracvideo.org/                               	schroedinger-1.0.11.tar.xz
libsoxr      	0.1.2                	http://sourceforge.net/projects/soxr/                	soxr-0.1.2.tar.xz
Speex        	1.2rc2               	http://speex.org/                                    	speex-1.2rc2.tar.xz
Theora       	1.1.1                	http://theora.org/                                   	libtheora-1.1.1.tar.xz
TwoLAME      	0.3.13               	http://twolame.org/                                  	twolame-0.3.13.tar.xz
vid.stab     	0.98                 	http://public.hronopik.de/vid.stab/                  	vid.stab-0.98.tar.xz
VisualOn AAC 	0.1.3                	https://github.com/mstorsjo/vo-aacenc                	vo-aacenc-0.1.3.tar.xz
VisualOn AMR-WB	0.1.2                	https://github.com/mstorsjo/vo-amrwbenc              	vo-amrwbenc-0.1.2.tar.xz
Vorbis       	1.3.5                	http://vorbis.com/                                   	libvorbis-1.3.5.tar.xz
vpx          	1.5.0                	http://webmproject.org/                              	libvpx-1.5.0.tar.xz
WavPack      	4.75.2               	http://wavpack.com/                                  	wavpack-4.75.2.tar.xz
WebP         	0.4.4                	https://developers.google.com/speed/webp/            	libwebp-0.4.4.tar.xz
x264        	20151011-git-7599210 	http://videolan.org/developers/x264.html            	x264-20151011-git-7599210.tar.xz
x265 	        1.8                  	http://x265.org/                                     	x265-1.8.tar.xz
XAVS         	svn-r55              	http://xavs.sourceforge.net/                         	xavs-svn-r55.tar.xz
Xvid         	1.3.4                	http://xvid.org/                                     	xvid-1.3.4.tar.xz
z.lib       	2.0.2                	https://github.com/sekrit-twc/zimg                   	zimg-2.0.2.tar.xz
XZ Utils     	5.2.2                	http://tukaani.org/xz                                	xz-5.2.2.tar.xz
zlib         	1.2.8                	http://zlib.net/                                     	zlib-1.2.8.tar.xz
